konteks	masalah sistem knalpot	masalah transmisi	masalah suspensi	gangguan listrik	masalah sistem bahan bakar	masalah kemudi	masalah ban	masalah mesin	kegagalan rem	masalah sistem pendingin	kerusakan aksesoris interior eksterior
asas roda luar kanan  rh  sistem kemudi kendara fungsi atur arah kendara belok roda setir mobil komponen sistem kemudi mudah kemudi belok posisi roda gejala indikasi setir mobil tarik salah sisi setir mobil asa berat susah kontrol setir mobil lari kiri kanan suara dengung pekik laju cepat rendah selaras alignment ban sesuai rusa bengkok komponen setir sistem power steering alami sumbat seal rusak ban beda ukur kempes oli power steering tangki pompa oli optimal sumbat pompa oli jarang ganti kotor oli sesuai rekomendasi rusa understeel kaki kaki roda ban mobil aus seteering gear linkage joint aus pasang linkage bracket longgar bantal roda longgar setel rem sesuai stir stabilizer pasang as spooring balancing komponen as roda kendara roda kanan	0	0	0	0	0	1	0	0	0	0	0
bahan bakarbersihkan filter bensin sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as layan bersih filter bensin kendara roda	1	0	0	0	1	0	0	0	0	0	0
bahan bakarfilter solar olo70 sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as filter solar merek olo70 kendara roda	1	0	0	0	1	0	0	0	0	0	0
bahan bakarseling pembukaan tangki bensin sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as seling buka tangki bensin kendara roda	1	0	0	0	1	0	0	0	0	0	0
bahan bakartune up purging diesel sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as layan tune up teknologi purging diesel tingkat performa mesin kendara roda	1	0	0	0	1	0	0	0	0	0	0
bahan bakarw cylinder lh sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as cylinder sistem rem kendara roda kiri	1	0	0	0	1	0	0	0	0	0	0
balancingbalancing suspensi kendara roda kumpul komponen fungsi redam kejut getar kendara akibat muka jalan rata fungsi suspensi kendara letak bodi kerangka roda suspensi mobil milik sistem kompleks komponen shock absorber anti roll bar control arm rutin spooring balancing roda mobil bantu cegah suspensi kendara roda gejala indikasi suspensi lurus shockbreaker bocor karet rusak ball joint rusak control arm bengkok kaki kaki lurus bunyi decit guncang jarak belok suara bunyi kendara jalan lubang rata umur kendara tua jarang awat komponen suspensi aus rusak kondisi jalan buruk kaki kaki pasang beban kendara berat bentur keras kendara shockbreaker spooring balancing hidrolik pasang sistem kemudi kendara fungsi atur arah kendara belok roda setir mobil komponen sistem kemudi mudah kemudi belok posisi roda gejala indikasi setir mobil tarik salah sisi setir mobil asa berat susah kontrol setir mobil lari kiri kanan suara dengung pekik laju cepat rendah selaras alignment ban sesuai rusa bengkok komponen setir sistem power steering alami sumbat seal rusak ban beda ukur kempes oli power steering tangki pompa oli optimal sumbat pompa oli jarang ganti kotor oli sesuai rekomendasi rusa understeel kaki kaki roda ban mobil aus seteering gear linkage joint aus pasang linkage bracket longgar bantal roda longgar setel rem sesuai stir stabilizer pasang as spooring balancing ban liput aus rata bocor ban rusa sidewall ban akibat tahan ban turun celaka akibat hilang traksi gagal ban kendara gejala indikasi getar kendara kemudi telapak ban aus rata mobil boros bahan bakar aus ban rata ubah pegang respons kemudi kendara tarik sisi kondisi muka jalan buruk jalan batu aspal berlobang tekan ban awat ban rutin bersih ban rutin cek tekan angin ban parkir terik matahari balance roda bagus suspensi fungsi ban lindas benda tajam rem dadak ban spooring balancing stabilizer pasang layan awat sistem imbang roda kendara roda	0	0	1	0	0	1	1	0	0	0	0
banban bridgestone ecopia 205 65 r16 ban liput aus rata bocor ban rusa sidewall ban akibat tahan ban turun celaka akibat hilang traksi gagal ban kendara gejala indikasi getar kendara kemudi telapak ban aus rata mobil boros bahan bakar aus ban rata ubah pegang respons kemudi kendara tarik sisi kondisi muka jalan buruk jalan batu aspal berlobang tekan ban awat ban rutin bersih ban rutin cek tekan angin ban parkir terik matahari balance roda bagus suspensi fungsi ban lindas benda tajam rem dadak ban spooring balancing stabilizer pasang ban merek bridgestone ukur 205 65 r16 kendara roda	0	0	0	0	0	0	1	0	0	0	0
banban gt ecotect 185 65 r15 ban liput aus rata bocor ban rusa sidewall ban akibat tahan ban turun celaka akibat hilang traksi gagal ban kendara gejala indikasi getar kendara kemudi telapak ban aus rata mobil boros bahan bakar aus ban rata ubah pegang respons kemudi kendara tarik sisi kondisi muka jalan buruk jalan batu aspal berlobang tekan ban awat ban rutin bersih ban rutin cek tekan angin ban parkir terik matahari balance roda bagus suspensi fungsi ban lindas benda tajam rem dadak ban spooring balancing stabilizer pasang ban merek gt ukur 185 65 r15 kendara roda	0	0	0	0	0	0	1	0	0	0	0
banban gt ecotect 195 70 r14 ban liput aus rata bocor ban rusa sidewall ban akibat tahan ban turun celaka akibat hilang traksi gagal ban kendara gejala indikasi getar kendara kemudi telapak ban aus rata mobil boros bahan bakar aus ban rata ubah pegang respons kemudi kendara tarik sisi kondisi muka jalan buruk jalan batu aspal berlobang tekan ban awat ban rutin bersih ban rutin cek tekan angin ban parkir terik matahari balance roda bagus suspensi fungsi ban lindas benda tajam rem dadak ban spooring balancing stabilizer pasang ban merek gt ukur 195 70 r14 kendara roda	0	0	0	0	0	0	1	0	0	0	0
banban hankook 205 65 r15 ban liput aus rata bocor ban rusa sidewall ban akibat tahan ban turun celaka akibat hilang traksi gagal ban kendara gejala indikasi getar kendara kemudi telapak ban aus rata mobil boros bahan bakar aus ban rata ubah pegang respons kemudi kendara tarik sisi kondisi muka jalan buruk jalan batu aspal berlobang tekan ban awat ban rutin bersih ban rutin cek tekan angin ban parkir terik matahari balance roda bagus suspensi fungsi ban lindas benda tajam rem dadak ban spooring balancing stabilizer pasang ban merek hankook ukur 205 65 r15 kendara roda	0	0	0	0	0	0	1	0	0	0	0
bearingmetal duduk std transmisi kendara roda kondisi sistem transmisi kendara alami rusa ganggu akibat optimal sistem transmisi kendara fungsi transfer tenaga mesin roda kendara kendara gerak sistem transmisi kendara kendara gerak gerak performa buruk gejala indikasi telat respons injak pedal gas suara dengung berisik sistem transmisi bocor cair transmisi bau bakar cair transmisi warna cair transmisi ubah gelap sulit operasi gigi getar guncang kendara gerak overheat mesin kendara gerak henti tengah jalan lampu indikator transmisi nyala awat ganti cair transmisi overheat mesin kendara bocor sistem transmisi rusa komponen sistem transmisi torque converter kopling bearing salah operasi kendara injak pedal gas cepat ganti gigi umur kendara tua transmisi pasang kopling joint bearing pasang cleaner mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting metal duduk standar ukur kendara roda	0	1	0	0	0	0	0	1	0	0	0
bearingmetal jalan std transmisi kendara roda kondisi sistem transmisi kendara alami rusa ganggu akibat optimal sistem transmisi kendara fungsi transfer tenaga mesin roda kendara kendara gerak sistem transmisi kendara kendara gerak gerak performa buruk gejala indikasi telat respons injak pedal gas suara dengung berisik sistem transmisi bocor cair transmisi bau bakar cair transmisi warna cair transmisi ubah gelap sulit operasi gigi getar guncang kendara gerak overheat mesin kendara gerak henti tengah jalan lampu indikator transmisi nyala awat ganti cair transmisi overheat mesin kendara bocor sistem transmisi rusa komponen sistem transmisi torque converter kopling bearing salah operasi kendara injak pedal gas cepat ganti gigi umur kendara tua transmisi pasang kopling joint bearing pasang cleaner mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting metal jalan standar ukur kendara roda	0	1	0	0	0	0	0	1	0	0	0
bodikancing cengkeh rusa aksesoris interior eksterior mobil upa rusa fisik gores lecet pecah eksterior mobil bemper kap mobil grill spakbor pilar pilar cross member interior mobil upa rusa bahan karet plastik kering pengaruh cuaca pudar warna pintu kaca bodi velg wiper packing rangka eksterior jasa kancing kendara roda	0	0	0	0	0	0	0	0	0	0	1
bodipoles body  exterior   interior  rusa aksesoris interior eksterior mobil upa rusa fisik gores lecet pecah eksterior mobil bemper kap mobil grill spakbor pilar pilar cross member interior mobil upa rusa bahan karet plastik kering pengaruh cuaca pudar warna pintu kaca bodi velg wiper packing rangka eksterior jasa layan poles body kendara roda eksterior interior	0	0	0	0	0	0	0	0	0	0	1
bumperperbaikan bumper depan layan bumper kendara roda	0	0	0	0	0	0	0	0	0	0	0
bumperrepair   cat bumper depan layan bumper kendara roda cat	0	0	0	0	0	0	0	0	0	0	0
busibusi denso k20hru 11 mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting busi merek denso tipe k20hru 11 kendara roda	0	0	0	0	0	0	0	1	0	0	0
busibusi denso xu22pr 9 mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting busi merek denso tipe xu22pr 9 kendara roda	0	0	0	0	0	0	0	1	0	0	0
busipacking tutup klep   seal busi mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting packing seal tutup klep busi kendara roda	0	0	0	0	0	0	0	1	0	0	0
cleanuccu cleanner cair bersih kendara roda	0	0	0	0	0	0	0	0	0	0	0
cleanertune up   carbon cleanner sistem buang tanggung hilang gas limbah hasil mesin kendara gejala asap knalpot asap knalpot indikasi sistem buang asap putih tebal indikasi proses bakar asap biru indikasi oli bakar mesin suara knalpot keras suara knalpot keras indikasi knalpot pipa knalpot lubang bocor sistem buang suara derak suara derak sistem buang indikasi komponen longgar rusak lindung panas gantung turun efisiensi bahan bakar turun efisiensi bahan bakar sistem buang katalis konverter sumbat getar getar kendara komponen sistem buang rusak knalpot pipa knalpot bocor kompresi nyala api busi karburator filter udara kotor usia kendara bahan susun knalpot plat besi korosi knalpot bocor bakar sempurna mesin asap knalpot wajar campur bahan bakar bensin campur molekul udara sesuai rasio kotor halang udara bersih capai mesin pengaruh sistem kontrol emisi filter udara filter oli oli bahan bakar cleaner pasang transmisi kendara roda kondisi sistem transmisi kendara alami rusa ganggu akibat optimal sistem transmisi kendara fungsi transfer tenaga mesin roda kendara kendara gerak sistem transmisi kendara kendara gerak gerak performa buruk gejala indikasi telat respons injak pedal gas suara dengung berisik sistem transmisi bocor cair transmisi bau bakar cair transmisi warna cair transmisi ubah gelap sulit operasi gigi getar guncang kendara gerak overheat mesin kendara gerak henti tengah jalan lampu indikator transmisi nyala awat ganti cair transmisi overheat mesin kendara bocor sistem transmisi rusa komponen sistem transmisi torque converter kopling bearing salah operasi kendara injak pedal gas cepat ganti gigi umur kendara tua transmisi pasang kopling joint bearing pasang cleaner sistem bahan bakar kendara roda kondisi sistem bahan bakar kendara fungsi faktor rusa komponen sistem bahan bakar proses bakar gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat mesin mobil sulit nyala mesin mobil brebet respon pedal gas telat suara gelitik ketu mesin mobil sistem listrik alternator aki kabel kabel kendur putus rangkai api fuel pump karbon endap ruang bakar setting bahan bakar udara akurat filter bahan bakar bahan bakar cleaner pasang kruk as mesin liput sistem bakar bocor komponen mesin rusa piston katup akibat performa mesin buruk hilang tenaga gagal mesin gejala indikasi mesin sulit aktif pagi mesin sulit aktif panas mesin sendat pedal gas injak tingkat cepat suara mesin kasar berisik mesin asap mesin bau sedap mesin alami knocking detonation getar normal mesin kendara sistem listrik aki lemah kabel busi rusak sistem bahan bakar bahan bakar kotor filter bahan bakar sumbat sistem dingin radiator bocor kipas fungsi sistem lumas oli kotor bahan bakar sesuai spesifikasi kendara pilih busi salah pre ignition detonation ruang bakar busi mesin overhoul cleaner piston filter oli oli bearing pasang engine mounting layan tune up teknologi carbon cleanner tingkat performa mesin kendara roda	1	1	0	0	1	0	0	1	0	0	0
