Komponen,Keterangan
Pompa Oli Avanza, Pompa oli untuk kendaraan roda empat merek Avanza.
Saklar Power window (Central Auto), Saklar untuk sistem power window kendaraan roda empat.
Thermostart, Komponen untuk sistem pendingin kendaraan roda empat.
Switch Temperatur, Komponen untuk sistem temperatur kendaraan roda empat.
Bubut Scrup Head + Dial Kruk as + Corter Booring," Layanan bubut dengan teknologi scrup head, dial kruk as, dan corter booring untuk perbaikan mesin kendaraan roda empat."
Lem Lookteet, Lem perekat untuk kendaraan roda empat.
Coil Avanza, Coil untuk kendaraan roda empat merek Avanza.
Busi Denso XU22PR-9, Busi merek Denso dengan tipe XU22PR-9 untuk kendaraan roda empat.
Towing (Derek), Layanan derek untuk kendaraan roda empat.
Isi Freon AC, Layanan pengisian freon untuk sistem AC kendaraan roda empat.
Service Radiator, Layanan perawatan pada sistem radiator kendaraan roda empat.
Jasa Over Houl Engine, Layanan perawatan mesin kendaraan roda empat secara menyeluruh.
Service Rem Depan + Belakang, Layanan perawatan rem depan dan belakang pada kendaraan roda empat.
Bersihkan Filter Bensin, Layanan pembersihan filter bensin pada kendaraan roda empat.
Shock Bagasi (Hydrolic Bagasi), Komponen untuk sistem shock bagasi pada kendaraan roda empat.
Shockbreaker Belakang (RR), Shockbreaker untuk sistem suspensi kendaraan roda empat bagian belakang.
Link Stabil (FR) R/L, Link stabilizer untuk sistem suspensi kendaraan roda empat bagian depan kanan dan kiri.
End Tierod (FR) R/L, Bagian end tierod untuk sistem suspensi kendaraan roda empat bagian depan kanan dan kiri.
Master Kopling Atas (Up) Innova, Bagian master kopling atas untuk kendaraan roda empat merek Innova.
Master Kopling Bawah (Down) Innova, Bagian master kopling bawah untuk kendaraan roda empat merek Innova.
Kampas Rem Depan (FR), Kampas rem untuk sistem rem kendaraan roda empat bagian depan.
Kaca Film (Full), Layanan pemasangan kaca film pada seluruh kaca kendaraan roda empat.
Bersihkan Jamur Kaca, Layanan pembersihan jamur pada kaca kendaraan roda empat.
Poles Head Lamp, Layanan poles lampu depan kendaraan roda empat untuk memperbaiki penampilan dan kinerja lampu.
Bohlam Rem K2 (Bulat), Lampu rem untuk kendaraan roda empat.
Perbaikan lampu Spoiler, Layanan perbaikan pada lampu spoiler kendaraan roda empat.
Filter Solar OLO70, Filter solar merek OLO70 untuk kendaraan roda empat.
Tune Up + Injection Cleanner, Layanan tune up dengan teknologi injection cleanner untuk meningkatkan performa mesin kendaraan roda empat.
Castrol Transmax ATF 1Ltr, Oli khusus untuk sistem transmisi kendaraan roda empat merek Castrol dengan kapasitas 1 liter.
Service Power Window Depan Kanan, Layanan perawatan pada sistem power window kendaraan roda empat bagian depan kanan.
Busi Denso K20HRU-11, Busi merek Denso dengan tipe K20HRU-11 untuk kendaraan roda empat.
Fanbelt Innova, Sabuk kipas untuk kendaraan roda empat merek Innova.
Magnet Clutch AC, Bagian magnet clutch untuk sistem pendingin udara kendaraan roda empat.
Dryier AC, Komponen untuk sistem pendingin udara kendaraan roda empat.
Filter AC Innova, Filter udara khusus untuk sistem pendingin udara kendaraan roda empat merek Innova.
Isi Freon + Oli Kompresor AC, Layanan pengisian freon dan oli kompresor untuk sistem pendingin udara kendaraan roda empat.
Oli Silikon Fan, Oli khusus untuk sistem kipas kendaraan roda empat.
Bohlam H4 100/90 Watt, Lampu untuk kendaraan roda empat dengan teknologi H4 dan wattage 100/90.
Relay set H4, Komponen relay untuk sistem lampu kendaraan roda empat dengan teknologi H4.
Bohlam K2 Bulat, Lampu untuk kendaraan roda empat.
Jasa Pasang Relay Lampu H4, Layanan pemasangan komponen relay untuk sistem lampu kendaraan roda empat dengan teknologi H4.
Kampas Rem Depan (FR) Innova, Kampas rem untuk sistem rem kendaraan roda empat bagian depan merek Innova.
Jasa Pasang Kampas Rem Depan, Layanan pemasangan dan penggantian kampas rem kendaraan roda empat bagian depan.
Accu Amaron NS 60 Maintenance Fee, Accu merek Amaron NS 60 dengan biaya perawatan rutin.
Jasa Pasang Accu, Layanan pemasangan dan perbaikan sistem accu kendaraan roda empat.
Upper tank Radiator Atas Innova, Tangki atas untuk sistem pendingin kendaraan roda empat merek Innova.
Wurth Radaitor Coolant 5Ltr, Cairan pendingin untuk sistem pendingin kendaraan roda empat dengan kapasitas 5 liter.
"Wurth Wiper Blade Ukuran 22""", Karet wiper merek Wurth dengan ukuran 22 inci untuk kendaraan roda empat.
Oli Silikon Kipas Fan, Oli khusus untuk sistem kipas kendaraan roda empat dengan teknologi silikon.
Jasa Bongkar pasang Radiator + Cooling Fan, Layanan bongkar pasang sistem radiator dan cooling fan kendaraan roda empat.
Ban GT Ecotect 195 70 R14, Ban merek GT dengan ukuran 195 70 R14 untuk kendaraan roda empat.
Kancing Cengkeh, Kancing untuk kendaraan roda empat.
Bearing Roda Depan (FR) R/L, Bearing roda depan untuk kendaraan roda empat bagian depan kanan dan kiri.
Fanbelt Innova Reborn, Sabuk kipas untuk kendaraan roda empat merek Innova Reborn.
Jasa Pasang, Layanan pemasangan komponen kendaraan roda empat.
Filter Oli Ford TB001, Filter oli merek Ford TB001 untuk kendaraan roda empat.
Perbaikan Bumper Depan, Layanan perbaikan pada bumper kendaraan roda empat bagian depan.
Kaca Film Depan 3M, Kaca film merek 3M untuk kendaraan roda empat bagian depan.
Bohlam Rem K2 Bulat, Lampu rem untuk kendaraan roda empat.
Sikring 20Ah Besar, Sikring dengan kapasitas 20Ah untuk kendaraan roda empat.
Jasa Elektrikal, Layanan perbaikan pada sistem elektrikal kendaraan roda empat.
"Wurth Wiper Blade Ukuran 18""", Karet wiper merek Wurth dengan ukuran 18 inci untuk kendaraan roda empat.
Bubut Disc Brake (FR) R/L, Layanan bubut pada sistem disc brake kendaraan roda empat bagian depan kanan dan kiri.
Shell Transmisi Manual 1Ltr, Oli khusus untuk sistem transmisi manual kendaraan roda empat dengan kapasitas 1 liter.
As Roda Luar Kanan (RH), Komponen as roda untuk kendaraan roda empat bagian luar kanan.
As Roda Dalam Kanan (RH), Komponen as roda untuk kendaraan roda empat bagian dalam kanan.
Tambah Freon AC, Layanan pengisian kembali freon pada sistem pendingin AC kendaraan roda empat.
Grease As Roda, Layanan perawatan pada as roda kendaraan roda empat dengan penggunaan grease.
Over Houl Transmisi (Gigi Sinkronis), Layanan perawatan pada sistem transmisi kendaraan roda empat dengan penggantian gigi sinkronis.
Speed Sensor, Komponen sensor kecepatan untuk kendaraan roda empat.
Seal Kruk As Belakang, Seal untuk sistem kruk as belakang pada kendaraan roda empat.
Engine Mounting (FR) R/L, Bagian engine mounting untuk sistem suspensi kendaraan roda empat bagian depan kanan dan kiri.
Shockbreaker Depan (FR) Innova, Shockbreaker untuk sistem suspensi kendaraan roda empat bagian depan merek Innova.
Shockbreaker Belakang (RR) Innova, Shockbreaker untuk sistem suspensi kendaraan roda empat bagian belakang merek Innova.
Jasa Kuras Minyak Rem, Layanan pengurasan minyak rem pada sistem rem kendaraan roda empat.
Jasa Pasang Shockbreaker, Layanan pemasangan dan perbaikan sistem shockbreaker kendaraan roda empat.
Filter Bensin Innova, Filter bensin untuk kendaraan roda empat merek Innova.
Perbaikan Chassis Depan, Layanan perbaikan pada chassis kendaraan roda empat bagian depan.
Repair + Cat Bumper Depan, Layanan perbaikan pada bumper depan kendaraan roda empat dengan pengecatan.
Repair + Cat Grill Depan, Layanan perbaikan pada grill depan kendaraan roda empat dengan pengecatan.
Toyota ATF WS 4Ltr, Oli khusus merek Toyota untuk sistem transmisi kendaraan roda empat dengan kapasitas 4 liter.
Conventer Matic, Konverter untuk sistem transmisi matic kendaraan roda empat.
As Mangkok Celenoid, As mangkok untuk sistem celenoid kendaraan roda empat.
Jasa Over Houl Matic, Layanan perawatan pada sistem transmisi matic kendaraan roda empat dengan penggantian komponen yang rusak.
Stop Lamp (RR) R/L Innova, Lampu rem untuk kendaraan roda empat merek Innova bagian belakang kanan dan kiri.
Tutup Radiator Denso 1.1, Tutup radiator merek Denso dengan ukuran 1.1 untuk kendaraan roda empat.
Filter Oli Nissan 65F0A, Filter oli merek Nissan dengan kode 65F0A untuk kendaraan roda empat.
Socket Lampu, Socket untuk lampu kendaraan roda empat.
Sikring Kecil 20A, Sikring dengan daya 20A untuk kendaraan roda empat.
Balast HID Depan (LH) Kiri, Balast HID untuk lampu depan kendaraan roda empat bagian kiri.
Jasa Pasang Balast + Eleltrikal, Layanan pemasangan balast dan perbaikan sistem elektrikal kendaraan roda empat.
Joint Copel Innova Reborn, Joint copel merek Innova Reborn untuk kendaraan roda empat.
Bohlam K2 Gepeng (Rem), Lampu rem untuk kendaraan roda empat.
Filter Oli YZZD2, Filter oli merek YZZD2 untuk kendaraan roda empat.
Stop Lamp (RR) LH Kiri, Lampu rem untuk kendaraan roda empat bagian belakang kiri.
Poles Head Lamp (FR) R/L, Layanan poles lampu depan kendaraan roda empat bagian kanan dan kiri.
Long Tierod (FR) R/L, Tierod bagian depan untuk kendaraan roda empat bagian kanan dan kiri.
Evaporator AC, Evaporator untuk sistem AC kendaraan roda empat.
Over Houl Blower AC, Layanan perawatan pada sistem blower AC kendaraan roda empat.
Oli Kompresor + Isi Freon, Oli khusus dan pengisian freon untuk sistem kompresor AC kendaraan roda empat.
Ban Hankook 205 65 R15, Ban merek Hankook dengan ukuran 205 65 R15 untuk kendaraan roda empat.
Jasa Pasang Engine Mounting, Layanan pemasangan dan perbaikan engine mounting kendaraan roda empat.
United Oil 10/40 4Ltr, Oli mesin merek United Oil untuk kendaraan roda empat dengan kapasitas 4 liter.
United Oil 10/40 1Ltr, Oli mesin merek United Oil untuk kendaraan roda empat dengan kapasitas 1 liter.
Packing tutup klep + Seal Busi, Packing dan seal untuk tutup klep dan busi kendaraan roda empat.
Coil Innova, Coil untuk kendaraan roda empat merek Innova.
"Wiper Frame Less Ukuran 26""", Karet wiper dengan ukuran 26 inci untuk kendaraan roda empat.
"Wiper Frame Less Ukuran 14""", Karet wiper dengan ukuran 14 inci untuk kendaraan roda empat.
Wurth Wiper Ukuran 14 (Belakang), Karet wiper dengan ukuran 14 inci untuk kendaraan roda empat bagian belakang.
Hydrolic Bagasi, Layanan perbaikan pada sistem hidrolik bagasi kendaraan roda empat.
Relay Set H4, Relay untuk sistem lampu kendaraan roda empat.
Sun Visor (Pelindung Matahari), Pelindung matahari untuk kendaraan roda empat.
Sarung Setir Mobil, Sarung setir untuk kendaraan roda empat.
Shell Spirax Gear GL-5 1Ltr, Oli khusus untuk sistem transmisi kendaraan roda empat dengan kapasitas 1 liter.
"Wurth Wiper Blade Ukuran 14""", Karet wiper merek Wurth dengan ukuran 14 inci untuk kendaraan roda empat.
Ball Joint Bawah, Bagian ball joint bawah untuk sistem suspensi kendaraan roda empat.
Service Pintu Belakang (Central Lock), Layanan perawatan pada sistem pintu belakang kendaraan roda empat dengan teknologi central lock.
Radiator Ford Everest Assy, Radiator merek Ford Everest untuk kendaraan roda empat.
Bohlam Forglamp H11 55Watt, Lampu depan merek Forglamp dengan tipe H11 dan daya 55Watt untuk kendaraan roda empat.
Joint Copel, Bagian joint copel untuk kendaraan roda empat.
Karet Stabilizer R/L, Karet stabilizer untuk kendaraan roda empat bagian kanan dan kiri.
Sikring 20 Ah, Sikring dengan kapasitas 20 Ah untuk kendaraan roda empat.
Mobil Derek (Towing), Layanan derek untuk kendaraan roda empat.
